CAMPO;X;Y;OPERADORA;POZOS;TOTAL_bbl;2017-1;2017-2;2017-3;2017-4;2017-5;2017-6;2017-7;2017-8;2017-9;2017-10;2017-11;2017-12;2017;2018-1;2018-2;2018-3;2018-4;2018-5;2018-6;2018-7;2018-8;2018-9;2018-10;2018-11;2018-12;2018;2019-1;2019-2;2019-3;2019-4;2019-5;2019-6;2019-7;2019-8;2019-9;2019-10;2019-11;2019-12;2019;2020-1;2020-2;2020-3;2020-4;2020-5;2020-6;2020-7;2020-8;2020-9;2020-10;2020-11;2020-12;2020;2021-1;2021-2;2021-3;2021-4;2021-5;2021-6;2021-7;2021-8;2021-9;2021-10;2021-11;2021-12;2021
AREA TECA-COCORNA;-75,00000000;6,05283772;ECOPETROL S.A.;4;18783027;302624,00;272607,00;298098,00;281375,00;285706,00;290373,00;297019,00;;;295350,00;;324528,00;2647680,00;327268,00;292040,00;330658,00;334688,00;327491,00;306301,00;314652,00;315374,00;295758,00;;;;2844230,00;;;;;;365820,00;373614,00;381292,00;365762,00;445217,00;490283,00;542841,00;2964829,00;511728,00;426757,00;426860,00;382798,00;341601,00;323355,00;327603,00;368059,00;329593,00;397555,00;407653,00;445338,00;4688901,00;442249,00;433100,00;486985,00;487842,00;537034,00;477258,00;442301,00;417973,00;454031,00;457477,00;490047,00;511088,00;5637386,00
BONANZA;-73,40547381;7,47850109;ECOPETROL S.A.;5;4326443;147469,00;135226,00;149034,00;143747,00;142587,00;120856,00;128632,00;122280,00;121612,00;123630,00;116524,00;113680,00;1565277,00;109087,00;90599,00;;59816,00;;72021,00;68672,00;58406,00;54473,00;58187,00;55029,00;60178,00;686468,00;57630,00;51712,00;54761,00;52303,00;50012,00;47172,00;50609,00;50830,00;53934,00;51779,00;48043,00;50981,00;619766,00;50954,00;48534,00;56908,00;54206,00;56733,00;54907,00;56858,00;56830,00;55193,00;56662,00;54010,00;56613,00;658408,00;56699,00;48844,00;54993,00;55025,00;57053,00;73983,00;105956,00;67541,00;64961,00;66342,00;65457,00;79670,00;796524,00
GUADUAS;-74,58443273;5,12774726;ECOPETROL S.A.;1;778650;0,00;25190,00;27778,00;26653,00;25908,00;24732,00;25299,00;25890,00;24951,00;24886,00;24073,00;24713,00;280073,00;24251,00;21538,00;24050,00;23180,00;23075,00;21982,00;;;;;;;138076,00;;;;;;20478,00;20826,00;20591,00;19681,00;19832,00;18721,00;19662,00;139791,00;18956,00;17843,00;18970,00;18257,00;18464,00;17546,00;18175,00;18371,00;17357,00;17718,00;17468,00;18092,00;217217,00;3493,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3493,00
CASABE SUR;-73,93460356;7,00788107;ECOPETROL S.A.;8;8079298;172270,00;148490,00;164428,00;152582,00;152001,00;154685,00;165310,00;144169,00;127991,00;145979,00;114814,00;140511,00;1783230,00;147998,00;121741,00;126531,00;121481,00;147145,00;142485,00;147377,00;144709,00;143760,00;139620,00;124142,00;109651,00;1616640,00;130419,00;125952,00;134221,00;137165,00;142738,00;145829,00;158520,00;69218,00;120779,00;129277,00;127540,00;132272,00;1553930,00;141350,00;129377,00;138060,00;124641,00;132056,00;132575,00;118504,00;131027,00;131020,00;105624,00;126777,00;126571,00;1537581,00;110730,00;92772,00;121547,00;117505,00;115162,00;119480,00;127624,00;147864,00;154353,00;140570,00;168285,00;172024,00;1587916,00
CASABE;-73,92462747;7,02129220;ECOPETROL S.A.;290;128031293;2418693,00;2204251,00;2427255,00;2223671,00;2312134,00;2288492,00;2294393,00;2492330,00;2422640,00;2401941,00;2267740,00;2360090,00;28113628,00;2329709,00;1971863,00;2292067,00;2172310,00;2217505,00;2087315,00;2091277,00;2117199,00;2093240,00;2172156,00;2250242,00;2378616,00;26173499,00;2088275,00;1722123,00;1916580,00;1799707,00;1934621,00;1840198,00;1832015,00;1571436,00;1469061,00;1731327,00;1871003,00;2118489,00;21894834,00;2170928,00;1978067,00;2257075,00;2116570,00;1981504,00;1920761,00;2033074,00;1994993,00;2004040,00;2137233,00;2095826,00;2265843,00;24955915,00;2299805,00;2063135,00;2312747,00;2074375,00;2248306,00;2200225,00;2262077,00;2290509,00;2227278,00;2335054,00;2280690,00;2299218,00;26893417,00
PENAS BLANCAS;-73,97338986;6,95800224;ECOPETROL S.A.;4;4604557;26778,00;26792,00;24338,00;21684,00;39047,00;57552,00;56228,00;53088,00;40199,00;30230,00;42310,00;40968,00;459214,00;35146,00;43227,00;66280,00;80479,00;77265,00;85872,00;85241,00;91242,00;79023,00;80772,00;80244,00;90201,00;894992,00;83915,00;76808,00;88352,00;93129,00;107698,00;106161,00;127143,00;62734,00;94111,00;129781,00;110279,00;118802,00;1198912,00;111899,00;99245,00;106583,00;86620,00;73314,00;82352,00;88288,00;90709,00;77966,00;83008,00;75619,00;75710,00;1051314,00;75418,00;66067,00;73590,00;86790,00;89341,00;82182,00;85352,00;91638,00;86212,00;87549,00;88227,00;87758,00;1000124,00
PROVINCIA;-73,45864117;7,33690253;ECOPETROL S.A.;1;673941;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2508,00;5454,00;5201,00;6517,00;6714,00;36138,00;59900,00;46017,00;34355,00;29002,00;18017,00;33419,00;283242,00;28573,00;26101,00;28156,00;26679,00;29713,00;30767,00;59900,00;46017,00;34355,00;29002,00;18017,00;33419,00;390699,00
PALAGUA;-74,51085407;6,09425040;ECOPETROL S.A.;5;23072930;330071,00;293425,00;325053,00;324063,00;330881,00;321721,00;319685,00;334243,00;322793,00;337123,00;302137,00;295211,00;3836406,00;288554,00;277277,00;317068,00;322908,00;340673,00;320354,00;338457,00;340826,00;335545,00;347405,00;348923,00;358580,00;3936570,00;387244,00;358580,00;397704,00;391671,00;401171,00;405161,00;397679,00;388399,00;410720,00;427507,00;433685,00;441788,00;4841309,00;444459,00;420640,00;434643,00;408457,00;424821,00;424821,00;434991,00;429912,00;433214,00;448811,00;423208,00;436374,00;5164351,00;434397,00;394952,00;450271,00;436515,00;464569,00;441771,00;441771,00;441771,00;441771,00;441771,00;441771,00;462964,00;5294294,00
INFANTAS;-73,76551407;6,91772056;ECOPETROL;163;332776193;3378462,00;3083692,00;3534337,00;3827192,00;3262904,00;3861016,00;4066231,00;4244466,00;4506238,00;5107412,00;5132617,00;5646633,00;49651200,00;5549016,00;4882104,00;5346201,00;5392813,00;5647747,00;5529323,00;5741068,00;5858915,00;6183703,00;6374379,00;5938601,00;6115170,00;68559040,00;6238325,00;5318627,00;5888345,00;5742733,00;6152638,00;6024920,00;6286515,00;6653888,00;6356677,00;6327657,00;6238333,00;6729980,00;73958638,00;6939493,00;6078354,00;6151102,00;6131175,00;6032406,00;5851020,00;6090174,00;5804083,00;5253384,00;5321548,00;5338763,00;5674426,00;70665928,00;5683874,00;4849631,00;5658909,00;5896219,00;6009571,00;5922708,00;6242936,00;6408518,00;6074573,00;5939700,00;5558757,00;5695991,00;69941387,00
LA CIRA;-73,77778450;6,98799572;ECOPETROL;372;807871685;12145855,00;11440329,00;12138668,00;11485517,00;10259502,00;11662013,00;11808084,00;12360996,00;8708349,00;8708349,00;13400094,00;13598285,00;137716040,00;14000255,00;12742484,00;13886026,00;13886026,00;13886026,00;13490527,00;14185170,00;14690493,00;14639462,00;14680109,00;13721166,00;14656907,00;168464651,00;14656908,00;13865302,00;15188141,00;14865963,00;15006321,00;14743695,00;15231299,00;14969109,00;14609438,00;14948739,00;14574612,00;15720620,00;178380147,00;15881299,00;14786945,00;15649248,00;14712322,00;14464381,00;13496021,00;13185728,00;12810828,00;12917674,00;13680886,00;12982987,00;13481735,00;168050054,00;13103495,00;11724832,00;13176196,00;13637367,00;14123487,00;13368298,00;13255123,00;12895985,00;12224186,00;12688538,00;12199184,00;12864102,00;155260793,00
LA SALINA;-73,51900800;7,27182650;PETROSANTANDER;5;3833148;62419,00;62419,00;62419,00;62419,00;62419,00;62419,00;62419,00;62419,00;62419,00;62419,00;62419,00;62419,00;749028,00;46623,00;46623,00;46623,00;46623,00;46623,00;46623,00;46623,00;46623,00;46623,00;46623,00;46623,00;46623,00;559476,00;57633,00;57633,00;57633,00;57633,00;57633,00;57633,00;57633,00;57633,00;57633,00;57633,00;57633,00;57633,00;691596,00;67121,00;67121,00;67121,00;67121,00;67121,00;67121,00;67121,00;67121,00;67121,00;67121,00;67121,00;67121,00;805452,00;85633,00;85633,00;85633,00;85633,00;85633,00;85633,00;85633,00;85633,00;85633,00;85633,00;85633,00;85633,00;1027596,00
LLANITO ;-73,83459258;7,16327602;ECOPETROL;3;1294020;73621,00;72538,00;80572,00;77569,00;81077,00;77858,00;80815,00;65719,00;72555,00;68562,00;75542,00;77756,00;904184,00;82461,00;64015,00;31740,00;13499,00;91513,00;106608,00;0,00;0,00;0,00;0,00;0,00;0,00;389836,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
LLANITO UNIFICADO;-73,82930465;7,16671719;ECOPETROL;17;14385125;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;167452,00;150449,00;150159,00;158717,00;151241,00;137816,00;915834,00;150978,00;131317,00;214281,00;303221,00;322561,00;284402,00;278905,00;229533,00;194557,00;207657,00;187735,00;208911,00;2714058,00;313204,00;265413,00;318025,00;310946,00;321231,00;32'917;322168,00;331506,00;327789,00;416129,00;385293,00;442259,00;3753963,00;451437,00;409594,00;441214,00;449747,00;475220,00;539622,00;605869,00;627586,00;663160,00;698438,00;724270,00;915113,00;7001270,00
TOTAL;0;0;0;878;1348510309;19058262,14;17764958,76;19231979,92;18626472,14;16954165,19;18921718,58;19304114,17;19905599,96;16409745,99;17305880,28;21538269,41;22684793,43;227705960;22940367,8;20553510,46;22467244,74;22453824,17;22805063,35;22209411,35;23185988,46;23814236,04;24021745,26;24057967,89;22716210,9;23953742,45;275179312,9;23851326,5;21708054,7;23940018,45;23443525;24175392,5;24041468,85;24814758,15;24454662,93;23752352,43;24476404,61;24157866,81;26141979,7;288957810,6;26653899,67;24323749,9;25629795,94;24419629,55;23920345,95;22406617,42;22802584,82;22149456,22;21648706,26;22761297,14;21992742,42;23123500,91;281832326,2;22775803,08;20194661,07;22890241,29;23353696,76;24235088,83;23341927,25;23714541,8;23521034,24;22510513,03;22970073,93;22120338,36;23206979,55;274834899,2
